USW00094846,20160117,TAVG,-136,H,,S,
USW00094846,20160117,WDF2,300,,,W,
USW00094846,20160117,WDF5,300,,,W,
USW00094846,20160117,WSF2,107,,,W,
USW00094846,20160117,WSF5,134,,,W,
USW00094846,20160117,WT08,1,,,W,
USW00094846,20160118,TMAX,-138,,,W,2400
USW00094846,20160118,TMIN,-199,,,W,2400
USW00094846,20160118,PRCP,0,,,W,2400
USW00094846,20160118,SNOW,0,,,W,
USW00094846,20160118,SNWD,0,,,W,2400
USW00094846,20160118,AWND,63,,,W,
USW00094846,20160118,TAVG,-174,H,,S,
USW00094846,20160118,WDF2,300,,,W,
USW00094846,20160118,WDF5,290,,,W,
USW00094846,20160118,WSF2,89,,,W,
USW00094846,20160118,WSF5,116,,,W,
USW00094846,20160119,TMAX,-82,,,W,2400
USW00094846,20160119,TMIN,-177,,,W,2400
USW00094846,20160119,PRCP,0,,,W,2400
USW00094846,20160119,SNOW,0,,,W,
USW00094846,20160119,SNWD,0,,,W,2400
USW00094846,20160119,AWND,26,,,W,
USW00094846,20160119,TAVG,-146,H,,S,
USW00094846,20160119,WDF2,300,,,W,
USW00094846,20160119,WDF5,300,,,W,
USW00094846,20160119,WSF2,67,,,W,
USW00094846,20160119,WSF5,81,,,W,
USW00094846,20160120,TMAX,-49,,,W,2400
USW00094846,20160120,TMIN,-110,,,W,2400
USW00094846,20160120,PRCP,13,,,W,2400
USW00094846,20160120,SNOW,23,,,W,
USW00094846,20160120,SNWD,0,,,W,2400
USW00094846,20160120,AWND,16,,,W,
USW00094846,20160120,TAVG,-85,H,,S,
USW00094846,20160120,WDF2,250,,,W,
USW00094846,20160120,WDF5,260,,,W,
USW00094846,20160120,WSF2,40,,,W,
USW00094846,20160120,WSF5,49,,,W,
USW00094846,20160120,WT01,1,,,W,
USW00094846,20160121,TMAX,-16,,,W,2400
USW00094846,20160121,TMIN,-127,,,W,2400
USW00094846,20160121,PRCP,0,,,W,2400
USW00094846,20160121,SNOW,0,,,W,
USW00094846,20160121,SNWD,0,,,W,2400
USW00094846,20160121,AWND,14,,,W,
USW00094846,20160121,TAVG,-72,H,,S,
USW00094846,20160121,WDF2,70,,,W,
USW00094846,20160121,WDF5,40,,,W,
USW00094846,20160121,WSF2,36,,,W,
USW00094846,20160121,WSF5,54,,,W,
USW00094846,20160121,WT01,1,,,W,
USW00094846,20160121,WT08,1,,,W,
USW00094846,20160122,TMAX,-10,,,W,2400
USW00094846,20160122,TMIN,-71,,,W,2400
USW00094846,20160122,PRCP,5,,,W,2400
USW00094846,20160122,SNOW,10,,,W,
USW00094846,20160122,SNWD,0,,,W,2400
USW00094846,20160122,AWND,47,,,W,
USW00094846,20160122,TAVG,-46,H,,S,
USW00094846,20160122,WDF2,50,,,W,
USW00094846,20160122,WDF5,40,,,W,
USW00094846,20160122,WSF2,76,,,W,
USW00094846,20160122,WSF5,94,,,W,
USW00094846,20160122,WT01,1,,,W,
USW00094846,20160123,TMAX,6,,,W,2400
USW00094846,20160123,TMIN,-66,,,W,2400
USW00094846,20160123,PRCP,0,T,,W,2400
USW00094846,20160123,SNOW,0,T,,W,
USW00094846,20160123,SNWD,0,,,W,2400
USW00094846,20160123,AWND,28,,,W,
USW00094846,20160123,TAVG,-23,H,,S,
USW00094846,20160123,WDF2,340,,,W,
USW00094846,20160123,WDF5,320,,,W,
USW00094846,20160123,WSF2,63,,,W,
USW00094846,20160123,WSF5,81,,,W,
USW00094846,20160124,TMAX,11,,,W,2400
USW00094846,20160124,TMIN,-43,,,W,2400
USW00094846,20160124,PRCP,0,,,W,2400
USW00094846,20160124,SNOW,0,,,W,
USW00094846,20160124,SNWD,0,,,W,2400
USW00094846,20160124,AWND,38,,,W,
USW00094846,20160124,TAVG,-27,H,,S,
USW00094846,20160124,WDF2,210,,,W,
USW00094846,20160124,WDF5,200,,,W,
USW00094846,20160124,WSF2,89,,,W,
USW00094846,20160124,WSF5,107,,,W,
USW00094846,20160124,WT01,1,,,W,
USW00094846,20160124,WT08,1,,,W,
USW00094846,20160125,TMAX,50,,,W,2400
USW00094846,20160125,TMIN,-43,,,W,2400
USW00094846,20160125,PRCP,33,,,W,2400
USW00094846,20160125,SNOW,0,,,W,
USW00094846,20160125,SNWD,0,,,W,2400
USW00094846,20160125,AWND,46,,,W,
USW00094846,20160125,TAVG,-8,H,,S,
USW00094846,20160125,WDF2,250,,,W,
USW00094846,20160125,WDF5,250,,,W,
USW00094846,20160125,WSF2,112,,,W,
USW00094846,20160125,WSF5,143,,,W,
USW00094846,20160125,WT01,1,,,W,
USW00094846,20160126,TMAX,22,,,W,2400
USW00094846,20160126,TMIN,-43,,,W,2400
USW00094846,20160126,PRCP,5,,,W,2400
USW00094846,20160126,SNOW,0,T,,W,
USW00094846,20160126,SNWD,0,,,W,2400
USW00094846,20160126,AWND,74,,,W,
USW00094846,20160126,TAVG,4,H,,S,
USW00094846,20160126,WDF2,270,,,W,
USW00094846,20160126,WDF5,260,,,W,
USW00094846,20160126,WSF2,125,,,W,
USW00094846,20160126,WSF5,157,,,W,
USW00094846,20160126,WT01,1,,,W,
USW00094846,20160126,WT04,1,,,W,
USW00094846,20160127,TMAX,11,,,W,2400
USW00094846,20160127,TMIN,-49,,,W,2400
USW00094846,20160127,PRCP,0,T,,W,2400
USW00094846,20160127,SNOW,0,T,,W,
USW00094846,20160127,SNWD,0,,,W,2400
USW00094846,20160127,AWND,59,,,W,
USW00094846,20160127,TAVG,-24,H,,S,
USW00094846,20160127,WDF2,210,,,W,
USW00094846,20160127,WDF5,220,,,W,
USW00094846,20160127,WSF2,130,,,W,
USW00094846,20160127,WSF5,170,,,W,
USW00094846,20160128,TMAX,39,,,W,2400
USW00094846,20160128,TMIN,-16,,,W,2400
USW00094846,20160128,PRCP,0,T,,W,2400
USW00094846,20160128,SNOW,0,T,,W,
USW00094846,20160128,SNWD,0,,,W,2400
USW00094846,20160128,AWND,68,,,W,
USW00094846,20160128,TAVG,12,H,,S,
USW00094846,20160128,WDF2,340,,,W,
USW00094846,20160128,WDF5,340,,,W,
USW00094846,20160128,WSF2,98,,,W,
USW00094846,20160128,WSF5,130,,,W,
USW00094846,20160129,TMAX,17,,,W,2400
USW00094846,20160129,TMIN,-66,,,W,2400
USW00094846,20160129,PRCP,0,T,,W,2400
USW00094846,20160129,SNOW,0,T,,W,
USW00094846,20160129,SNWD,0,,,W,2400
USW00094846,20160129,AWND,47,,,W,
USW00094846,20160129,TAVG,-21,H,,S,
USW00094846,20160129,WDF2,190,,,W,
USW00094846,20160129,WDF5,200,,,W,
USW00094846,20160129,WSF2,103,,,W,
USW00094846,20160129,WSF5,134,,,W,
USW00094846,20160130,TMAX,78,,,W,2400
USW00094846,20160130,TMIN,17,,,W,2400
USW00094846,20160130,PRCP,0,T,,W,2400
USW00094846,20160130,SNOW,0,,,W,
USW00094846,20160130,SNWD,0,,,W,2400
USW00094846,20160130,AWND,38,,,W,
USW00094846,20160130,TAVG,31,H,,S,
USW00094846,20160130,WDF2,190,,,W,
USW00094846,20160130,WDF5,190,,,W,
USW00094846,20160130,WSF2,89,,,W,
USW00094846,20160130,WSF5,112,,,W,
USW00094846,20160131,TMAX,89,,,W,2400
USW00094846,20160131,TMIN,6,,,W,2400
USW00094846,20160131,PRCP,5,,,W,2400
USW00094846,20160131,SNOW,0,,,W,
USW00094846,20160131,SNWD,0,,,W,2400
USW00094846,20160131,AWND,38,,,W,
USW00094846,20160131,TAVG,57,H,,S,
USW00094846,20160131,WDF2,290,,,W,
USW00094846,20160131,WDF5,280,,,W,
USW00094846,20160131,WSF2,81,,,W,
USW00094846,20160131,WSF5,107,,,W,
USW00094846,20160131,WT01,1,,,W,
USW00094846,20160201,TMAX,72,,,W,2400
USW00094846,20160201,TMIN,-10,,,W,2400
USW00094846,20160201,PRCP,0,,,W,2400
USW00094846,20160201,SNOW,0,,,W,
USW00094846,20160201,SNWD,0,,,W,2400
USW00094846,20160201,AWND,22,,,W,
USW00094846,20160201,TAVG,22,H,,S,
USW00094846,20160201,WDF2,280,,,W,
USW00094846,20160201,WDF5,50,,,W,
USW00094846,20160201,WSF2,45,,,W,
USW00094846,20160201,WSF5,72,,,W,
USW00094846,20160201,WT01,1,,,W,
USW00094846,20160202,TMAX,33,,,W,2400
USW00094846,20160202,TMIN,0,,,W,2400
USW00094846,20160202,PRCP,201,,,W,2400
USW00094846,20160202,SNOW,0,,,W,
USW00094846,20160202,SNWD,0,,,W,2400
USW00094846,20160202,AWND,51,,,W,
USW00094846,20160202,TAVG,14,H,,S,
USW00094846,20160202,WDF2,100,,,W,
USW00094846,20160202,WDF5,100,,,W,
USW00094846,20160202,WSF2,148,,,W,
USW00094846,20160202,WSF5,179,,,W,
USW00094846,20160202,WT01,1,,,W,
USW00094846,20160202,WT02,1,,,W,
USW00094846,20160202,WT03,1,,,W,
USW00094846,20160202,WT08,1,,,W,
USW00094846,20160203,TMAX,28,,,W,2400
USW00094846,20160203,TMIN,-21,,,W,2400
USW00094846,20160203,PRCP,5,,,W,2400
USW00094846,20160203,SNOW,0,T,,W,
USW00094846,20160203,SNWD,0,,,W,2400
USW00094846,20160203,AWND,60,,,W,
USW00094846,20160203,TAVG,20,H,,S,
USW00094846,20160203,WDF2,280,,,W,
USW00094846,20160203,WDF5,240,,,W,
USW00094846,20160203,WSF2,103,,,W,
USW00094846,20160203,WSF5,134,,,W,
USW00094846,20160203,WT01,1,,,W,
USW00094846,20160203,WT02,1,,,W,
USW00094846,20160204,TMAX,0,,,W,2400
USW00094846,20160204,TMIN,-71,,,W,2400
USW00094846,20160204,PRCP,0,,,W,2400
USW00094846,20160204,SNOW,0,,,W,
USW00094846,20160204,SNWD,0,,,W,2400
USW00094846,20160204,AWND,42,,,W,
USW00094846,20160204,TAVG,-29,H,,S,
USW00094846,20160204,WDF2,280,,,W,
USW00094846,20160204,WDF5,290,,,W,
USW00094846,20160204,WSF2,72,,,W,
USW00094846,20160204,WSF5,94,,,W,
USW00094846,20160205,TMAX,11,,,W,2400
USW00094846,20160205,TMIN,-38,,,W,2400
USW00094846,20160205,PRCP,0,T,,W,2400
USW00094846,20160205,SNOW,0,T,,W,
USW00094846,20160205,SNWD,0,T,,W,2400
USW00094846,20160205,AWND,30,,,W,
USW00094846,20160205,TAVG,-17,H,,S,
USW00094846,20160205,WDF2,330,,,W,
USW00094846,20160205,WDF5,320,,,W,
USW00094846,20160205,WSF2,76,,,W,
USW00094846,20160205,WSF5,85,,,W,
USW00094846,20160206,TMAX,50,,,W,2400
USW00094846,20160206,TMIN,-43,,,W,2400
USW00094846,20160206,PRCP,0,,,W,2400
USW00094846,20160206,SNOW,0,,,W,
USW00094846,20160206,SNWD,0,,,W,2400
USW00094846,20160206,AWND,38,,,W,
USW00094846,20160206,TAVG,-8,H,,S,
USW00094846,20160206,WDF2,250,,,W,
USW00094846,20160206,WDF5,260,,,W,
USW00094846,20160206,WSF2,76,,,W,
USW00094846,20160206,WSF5,103,,,W,
USW00094846,20160206,WT01,1,,,W,
USW00094846,20160206,WT08,1,,,W,
USW00094846,20160207,TMAX,61,,,W,2400
USW00094846,20160207,TMIN,0,,,W,2400
USW00094846,20160207,PRCP,0,,,W,2400
USW00094846,20160207,SNOW,0,,,W,
USW00094846,20160207,SNWD,0,,,W,2400
USW00094846,20160207,AWND,58,,,W,
USW00094846,20160207,TAVG,31,H,,S,
USW00094846,20160207,WDF2,250,,,W,
USW00094846,20160207,WDF5,250,,,W,
USW00094846,20160207,WSF2,98,,,W,
USW00094846,20160207,WSF5,130,,,W,
USW00094846,20160208,TMAX,0,,,W,2400
USW00094846,20160208,TMIN,-66,,,W,2400
USW00094846,20160208,PRCP,5,,,W,2400
USW00094846,20160208,SNOW,10,,,W,
